{ 1, 375978865285289, 0.045505375, -0.15567628, 9.872271
},{ 2, 375979065992839, 22.650002, 24.300001, -49.500004
},{ 1, 375979068533383, 0.038320314, -0.14370118, 9.766891
},{ 3, 375979068533383, 0.001210119, 0.006288118, -0.0070591685
},{ 1, 375979071073927, 0.0023950196, -0.1820215, 9.82437
},{ 3, 375979071073927, 0.008134337, -1.034686E-4, -0.001200214
},{ 1, 375979073614471, -0.07664063, -0.09101075, 9.75731
},{ 3, 375979073614471, -9.204099E-4, -6.361008E-4, -0.0038633752
},{ 1, 375979076155015, -0.0023950196, -0.100590825, 9.807606
},{ 3, 375979076155015, 0.0017427512, 0.006288118, -0.0038633752
},{ 1, 375979078695559, 0.045505375, -0.19160157, 9.726174
},{ 3, 375979078695559, 0.005471177, -0.0022339975, -0.001200214
},{ 1, 375979081236103, 0.0071850587, -0.11256592, 9.750125
},{ 3, 375979081236103, -0.0025183067, -0.001168733, 3.9768266E-4
},{ 1, 375979083776647, 0.0, -0.14370118, 9.843531
},{ 3, 375979083776647, 6.7748677E-4, -0.005962423, 0.009985062
},{ 1, 375979086317191, -0.07424561, -0.10777588, 9.7740755
},{ 3, 375979086317191, -0.0014530421, 0.003624957, 0.008387166
},{ 2, 375979086317191, 22.650002, 24.300001, -49.500004
},{ 1, 375979088857735, -0.021555176, -0.11496094, 9.855506
},{ 3, 375979088857735, -0.01050779, 0.0025596926, 3.9768266E-4
},{ 1, 375979091398279, -0.07664063, -0.17483643, 9.85311
},{ 3, 375979091398279, 0.001210119, 0.0068207504, 0.0046587405
},{ 1, 375979093938823, -0.05508545, -0.13891114, 9.72857
},{ 3, 375979093938823, 6.7748677E-4, 0.0025596926, -6.675818E-4
},{ 1, 375979096479367, -0.086220704, -0.1460962, 9.754915
},{ 3, 375979096479367, 0.0033406478, 0.0046902215, 0.0073219016
},{ 1, 375979099019911, -0.06227051, -0.1580713, 9.718989
},{ 3, 375979099019911, 0.00387328, -0.0027666297, 0.020637706
},{ 1, 375979101560455, 0.0047900393, -0.023950197, 9.81
},{ 3, 375979101560455, -0.0025183067, -0.001168733, 0.023300868
},{ 1, 375979104101127, -0.021555176, -0.15328126, 9.75731
},{ 3, 375979104101127, -0.006246732, -6.361008E-4, 0.0094524305
},{ 1, 375979106641671, 0.021555176, -0.16286133, 9.77168
},{ 3, 375979106641671, -0.0046488354, 9.6179586E-4, 0.0041261083
},{ 2, 375979106641671, 22.650002, 24.300001, -49.500004
},{ 1, 375979109182215, -0.07664063, -0.17244141, 9.716595
},{ 3, 375979109182215, 1.4485451E-4, -6.361008E-4, 0.006256637
},{ 1, 375979111722759, 0.045505375, -0.16765137, 9.7740755
},{ 3, 375979111722759, 0.007601706, 0.0020270604, 0.009985062
},{ 1, 375979114263303, 0.035925295, -0.21076173, 9.7142
},{ 3, 375979114263303, -0.006246732, 0.0025596926, 0.010517695
},{ 1, 375979116803847, 0.06466553, -0.18681154, 9.750125
},{ 3, 375979116803847, -0.0051814676, -0.0043645264, 0.0030608438
},{ 1, 375979119332759, 0.05508545, -0.122146, 9.829161
},{ 3, 375979119332759, -0.0014530421, 9.6179586E-4, 0.0041261083
},{ 1, 375979121873303, 0.026345216, -0.100590825, 9.7740755
},{ 3, 375979121873303, 0.0049385447, -0.008625585, 0.007854533
},{ 1, 375979124413847, 0.0023950196, -0.17483643, 9.764495
},{ 3, 375979124413847, 1.4485451E-4, 0.0030923248, 0.0051913727
},{ 1, 375979126954391, 0.0071850587, -0.17004639, 9.83874
},{ 3, 375979126954391, -0.0035835712, 0.0020270604, 0.0030608438
},{ 2, 375979126954391, 22.650002, 24.300001, -49.500004
},{ 1, 375979129494935, 0.07424561, -0.17483643, 9.800421
},{ 3, 375979129494935, -0.0057141, -0.001168733, 0.00678927
},{ 1, 375979132035351, -0.009580079, -0.15567628, 9.901011
},{ 3, 375979132035351, 0.001210119, 0.010016544, -1.3494957E-4
},{ 1, 375979134575895, 0.014370117, -0.12933107, 9.874666
},{ 3, 375979134575895, -0.006246732, -0.0022339975, 0.003593476
},{ 1, 375979137116439, -0.040715333, -0.13172609, 9.855506
},{ 3, 375979137116439, 0.00387328, 0.0041575893, 0.0014629471
},{ 1, 375979139656983, 0.023950197, -0.10777588, 9.85311
},{ 3, 375979139656983, 0.00387328, 4.2916363E-4, -6.675818E-4
},{ 1, 375979142197399, -0.014370117, -0.14130616, 9.79563
},{ 3, 375979142197399, 0.0022753833, -0.003299262, -0.0027981107
},{ 1, 375979144737943, 0.059875492, -0.09340577, 9.726174
},{ 3, 375979144737943, -9.204099E-4, -0.0027666297, -0.0049286396
},{ 1, 375979147278487, -0.0023950196, -0.15567628, 9.891431
},{ 3, 375979147278487, 0.0028080156, -0.0017013652, -0.0017328463
},{ 2, 375979147278487, 22.650002, 24.300001, -49.500004
},{ 1, 375979149819031, -0.0047900393, -0.18441652, 9.83874
},{ 3, 375979149819031, 0.0022753833, 0.0046902215, -0.008657065
},{ 1, 375979152359447, -0.0023950196, -0.10777588, 9.800421
},{ 3, 375979152359447, -0.0057141, 0.003624957, 0.009985062
},{ 1, 375979154899991, -0.026345216, -0.11496094, 9.707015
},{ 3, 375979154899991, 0.0017427512, -0.003299262, 0.0046587405
},{ 1, 375979157440535, -0.100590825, -0.22752686, 9.74294
},{ 3, 375979157440535, -0.0014530421, 0.0014944281, -0.0043960074
},{ 1, 375979159981079, 0.059875492, -0.100590825, 9.7740755
},{ 3, 375979159981079, -0.0051814676, 0.0025596926, -0.008124433
},{ 1, 375979162521495, -0.07185059, -0.1460962, 9.766891
},{ 3, 375979162521495, -0.0025183067, 0.0014944281, -0.0075918008
},{ 1, 375979165062039, -0.05269043, -0.22513184, 9.800421
},{ 3, 375979165062039, 0.00387328, -1.034686E-4, 0.0094524305
},{ 1, 375979167602583, 0.014370117, -0.081430666, 9.759705
},{ 3, 375979167602583, 6.7748677E-4, -0.0048971586, -0.003330743
},{ 2, 375979167602583, 22.650002, 24.300001, -49.500004
},{ 1, 375979170143127, -0.011975098, -0.15088624, 9.7812605
},{ 3, 375979170143127, 1.4485451E-4, 0.0020270604, -0.005461272
},{ 1, 375979172683671, -0.023950197, -0.09580079, 9.7740755
},{ 3, 375979172683671, 0.013993292, -1.034686E-4, -0.0038633752
},{ 1, 375979175224087, -0.038320314, -0.098195806, 9.860296
},{ 3, 375979175224087, -0.003050939, -0.010223482, 0.0014629471
},{ 1, 375979177764631, 0.07664063, -0.117355965, 9.802815
},{ 3, 375979177764631, 0.0044059125, -0.0038318941, -0.003330743
},{ 1, 375979180305175, -0.06945557, -0.18681154, 9.764495
},{ 3, 375979180305175, 0.008134337, 0.0052228537, -0.008124433
},{ 1, 375979182845719, -0.13651612, -0.14849122, 9.817185
},{ 3, 375979182845719, 6.7748677E-4, -6.361008E-4, -0.0049286396
},{ 1, 375979185386135, -0.038320314, -0.083825685, 9.7812605
},{ 3, 375979185386135, -0.0067793643, -6.361008E-4, -6.675818E-4
},{ 1, 375979187926679, 0.014370117, -0.12933107, 9.817185
},{ 3, 375979187926679, -0.0025183067, 0.012147073, -0.009189697
},{ 2, 375979187926679, 23.400002, 24.300001, -49.500004
},{ 1, 375979190467223, -0.026345216, -0.08861572, 9.831555
},{ 3, 375979190467223, -0.0046488354, 0.011081807, -0.005461272
},{ 1, 375979193007767, -0.021555176, -0.16286133, 9.802815
},{ 3, 375979193007767, -0.0046488354, 0.0052228537, -0.001200214
},{ 1, 375979195548183, -0.100590825, -0.21555176, 9.817185
},{ 3, 375979195548183, 0.0049385447, 0.0030923248, 0.0025282116
},{ 1, 375979198088727, 0.026345216, -0.1460962, 9.81958
},{ 3, 375979198088727, -0.0019856745, -6.361008E-4, -0.005461272
},{ 1, 375979200629271, 0.047900394, -0.16765137, 9.814791
},{ 3, 375979200629271, 0.0022753833, -0.0038318941, 0.0057240045
},{ 1, 375979203169815, 0.033530276, -0.119750984, 9.740545
},{ 3, 375979203169815, -0.0051814676, -0.0022339975, -0.001200214
},{ 1, 375979205710231, -0.05508545, -0.1580713, 9.869876
},{ 3, 375979205710231, 0.008134337, 0.0068207504, -0.0065265363
},{ 1, 375979208250775, -0.023950197, -0.14130616, 9.778865
},{ 3, 375979208250775, -3.8777772E-4, -6.361008E-4, -0.003330743
},{ 2, 375979208250775, 23.25, 24.300001, -49.500004
},{ 1, 375979210791319, 0.026345216, -0.16525635, 9.74773
},{ 3, 375979210791319, 0.0049385447, -6.361008E-4, -0.001200214
},{ 1, 375979213331863, -0.009580079, -0.19639161, 9.79084
},{ 3, 375979213331863, -9.204099E-4, 0.0020270604, -0.003330743
},{ 1, 375979215871332, -0.050295413, -0.06706055, 9.745335
},{ 3, 375979215871332, -0.004116203, -0.005429791, -0.0027981107
},{ 1, 375979218411876, -0.047900394, -0.18920656, 9.798025
},{ 3, 375979218411876, 0.006003809, -0.0064950553, -0.0027981107
},{ 1, 375979220952292, 0.026345216, -0.1939966, 9.740545
},{ 3, 375979220952292, -0.004116203, 0.0025596926, -0.003330743
},{ 1, 375979223492836, -0.021555176, -0.040715333, 9.855506
},{ 3, 375979223492836, 0.0022753833, -0.0043645264, -0.0017328463
},{ 1, 375979226033380, 0.045505375, -0.18441652, 9.79563
